Name,Symbol,Category,Short Description,Long Description,Examples,Solved Problems,Min Time,Max Time,Time to Implement (Explained)
Block,Blk,Actions,Defensive maneuver to mitigate damage.,"Blocking allows players to defend against incoming attacks using a shield, weapon, or other defensive tool. When a block is performed, it typically reduces or nullifies damage from an incoming strike, depending on the gameâs mechanics. Some games allow perfect blocks, which negate all damage, while others may implement chip damage where a fraction of the attack still gets through.   The effectiveness of blocking varies by game design. In action-heavy games like the Batman: Arkham series, blocking is fluid and intuitive, allowing players to seamlessly counterattack. In more tactical combat systems, such as those found in fighting games, blocking may be tied to directional input or frame-perfect timing. Shields, weapons, or even parries can all be used to execute a block, making it a fundamental part of defensive play.",Batman: Arkham series: Blocking enemy strikes with gadgets and counters.; Street Fighter series: High and low blocks to counter various attacks.,"- Stale combat: When combat in your game boils down to repeatedly attacking the enemy, it can get boring. A Block action adds a new dimension to combat, and usually becomes as important to gameplay as your Attack action.",40 hours,2 weeks,"The minimum implementation time of 40 hours assumes a relatively simple block mechanic, likely tied to a single button press and offering basic damage reduction without perfect blocks or complex timing windows. This timeframe would require a programmer to implement the core functionality, integrate it with the existing combat system, and perform basic testing. The worst-case scenario of 2 weeks accounts for a more sophisticated block system, potentially including directional blocking, parry windows, chip damage, and integration with various weapon types or character abilities. This extended timeframe also allows for thorough testing, balancing, and potential art asset creation (e.g., visual feedback for successful blocks) to ensure the mechanic feels polished and fits the game's overall design philosophy, especially if the game engine lacks pre-built blocking functionality or requires significant modifications to existing combat systems."
Dodge,Dg,Actions,Quick evasion to avoid attacks.,"Dodging allows players to evade incoming attacks by quickly moving out of harmâs way. It is commonly executed as a roll, dash, or side-step, depending on the gameâs movement system. The dodge mechanic is typically tied to stamina or cooldowns to prevent players from overusing it.   Games like Dark Souls rely on dodging as a core defensive mechanic, where mastering invincibility frames (i-frames) is crucial for survival. Assassinâs Creed, on the other hand, uses dodging for quick combat maneuvers, letting players avoid attacks and counter in fluid motion. Different implementations of dodging can balance between accessibility and precision-based skill expression.","Dark Souls: Rolling dodge to avoid enemy hits, requiring precise timing and stamina management.; {""Assassin's Creed"": 'Agile dodging in close combat, allowing fluid enemy evasion and counterattacks.'}","- Stale combat: When combat in your game boils down to repeatedly attacking the enemy, it can get boring. A Dodge action adds a new dimension to combat, and usually becomes as important to gameplay as your Attack action.",40 hours,2 months,"The minimum implementation time of 40 hours assumes a pre-existing movement system and a relatively simple dodge mechanic, such as a short, fixed-distance dash with a cooldown. This timeframe allows for basic animation integration, collision detection, and a rudimentary stamina system. The worst-case scenario of 2 months accounts for a more complex dodge system, potentially involving multiple dodge types (roll, dash, sidestep), advanced i-frames requiring precise animation timing and collision calculations, a sophisticated stamina system with diminishing returns, and extensive playtesting to balance the mechanic's accessibility and skill expression, all while integrating it seamlessly into existing combat and movement systems, and potentially requiring significant engine modifications or custom tooling."
Interact,Int,Actions,Contextual actions for interacting with the world.,"Interaction mechanics allow players to engage with objects, NPCs, and the environment in meaningful ways. This can include opening doors, talking to characters, picking up items, and solving puzzles. In many games, interaction is context-sensitive, meaning different actions become available depending on the situation.   Open-world games like Grand Theft Auto V and Red Dead Redemption rely heavily on interaction systems to create immersive environments. From looting bodies to petting animals, these mechanics bring the world to life. Some games simplify interactions with a single-button prompt, while others use complex UI systems to offer a variety of contextual choices.","GTA V: Interacting with vehicles, NPCs, and objects in an open-world setting.; Red Dead Redemption: Contextual interactions such as looting, greeting NPCs, and performing small immersive actions.",None,40 hours,6 months,"The minimum implementation time of 40 hours assumes a pre-existing engine with basic input handling and a simple interaction system already in place, focusing on a limited set of interactions like opening doors and talking to a few NPCs with pre-defined dialogue. The worst-case scenario of 6 months accounts for a completely new interaction system needing to be built from scratch, including complex contextual action selection, a robust UI for presenting interaction options, extensive animation integration for various interaction types (looting, petting, etc.), and thorough testing across a large number of objects and NPCs within a potentially expansive game world, all while considering potential engine limitations and the need for iterative design and refinement based on playtesting feedback."
Parry,PrY,Actions,Timed counter to enemy attacks.,"Parrying allows players to deflect an enemy attack with precise timing, often opening the opponent up for a counterattack. Unlike blocking, which mitigates damage, parrying turns an opponentâs strength against them by staggering them or creating a brief vulnerability.   In games like Dark Souls, parrying requires pinpoint timing, rewarding skillful play with devastating ripostes. Sekiro refines this further with a posture system where successful parries weaken an enemyâs defenses, leading to an execution move. Parrying mechanics add risk-versus-reward elements, making combat more engaging for skilled players.","Dark Souls: Parrying enemy attacks with shields or weapons to create openings for counterattacks.; Dead Cells: Parrying is crucial in Dead Cells, and most enemy attacks can be parried. This usually has a rebound effect and damages or stuns the enemy.; Sekiro: Precision-based parrying system that gradually breaks an enemyâs posture, leading to a finishing blow.","- Stale combat: When combat in your game boils down to repeatedly attacking the enemy, it can get boring. A Parry action adds a new dimension to combat, and usually becomes as important to gameplay as your Attack action.",40 hours,2 months,"The minimum implementation time of 40 hours assumes a game already possesses a basic combat system with attack animations and enemy hitboxes. This timeframe allows for scripting a parry window, defining parryable attacks, implementing a visual/audio cue for parry timing, and a simple stagger effect on successful parries. The worst-case scenario of 2 months accounts for a more complex system requiring significant modifications to existing combat mechanics, including potentially reworking enemy AI to reliably trigger parryable attacks, designing a posture system similar to Sekiro, integrating visual and audio feedback for precise timing, and extensive playtesting to balance the risk-reward element. This also includes potential issues like ensuring parry animations don't clip through models or cause unexpected behavior, and adapting the system to different weapon types and enemy varieties, which could necessitate substantial iteration and debugging."
Quick Time Event,QtE,Actions,Timed button prompts for cinematic actions.,"Quick Time Events (QTEs) require players to press buttons within a short window of time to successfully complete an action. These events are often used in cinematic sequences to maintain player engagement during cutscenes or dramatic moments. Some QTEs offer branching outcomes, while others simply determine success or failure.   Games like God of War utilize QTEs for finishing moves and boss battles, adding spectacle to combat. Heavy Rain takes a different approach, integrating QTEs into the core gameplay, where player reactions shape the narrative. While sometimes criticized for being overused, well-implemented QTEs can enhance immersion and tension.","God of War: QTEs during boss fights, where timed inputs execute cinematic finishers.; Heavy Rain: Narrative-driven QTEs that influence story outcomes based on player reaction speed and accuracy.","- Lack of player engagement: QTEs ensure that players remain active participants in dramatic sequences rather than just watching them unfold. In contrast, to keep players engaged, the cutscene would have to be real-time, which is the other extreme. QTEs are a good compromise.",40 hours,6 months,"The minimum implementation time of 40 hours assumes a pre-existing game engine with basic input handling and a relatively simple QTE system where the core functionality (button prompts, timers, success/failure states) can be quickly scripted and integrated into a single, straightforward cinematic sequence. This timeframe doesn't include extensive art creation (prompts, animations) or complex branching logic. The worst-case scenario of 6 months accounts for a project requiring a highly customized QTE system built from scratch, potentially involving new animation tools, complex branching narratives with multiple outcomes per QTE, extensive testing across various platforms, and significant art asset creation for prompts and visual feedback, all while integrating seamlessly with a larger, already complex game project and accounting for potential design iterations and unforeseen technical challenges."
Adaptive Soundtrack,As,Audio,Soundtrack adapts to game intensity.,Modifies the soundtrack dynamically to match gameplay intensity. Seen in Left 4 Dead.,Left 4 Dead: Changes music based on player tension.; Other survival games use adaptive soundtracks.,Keeps the audio experience aligned with gameplay.,40 hours,2 months,"The minimum implementation time of 40 hours assumes a pre-existing audio system and a relatively simple intensity metric (e.g., enemy count, player health, proximity to danger) that can be easily mapped to music tracks. This would involve scripting a system to trigger different music cues based on this metric, potentially using pre-composed loops or stems. The worst-case scenario of 2 months accounts for a more complex implementation requiring custom music composition or licensing, a sophisticated intensity calculation involving multiple factors and AI analysis, integration with a complex audio engine, extensive testing and iteration, and potential issues with music licensing and copyright. This also includes the time needed to design a robust system that avoids jarring transitions and maintains a cohesive musical experience across various gameplay scenarios."
Ambient Audio,Aa,Audio,Immersive environmental soundscapes.,Creates a background soundscape that enhances the game's atmosphere. Found in games like Limbo.,Limbo: Uses ambient audio to build tension.; Other indie games focus on atmospheric sound.,Adds depth to the game world through sound.,24 hours,7 days,"The minimum implementation time of 24 hours assumes a pre-existing sound library with suitable ambient sounds and a simple audio engine capable of looping and layering sounds. This would involve selecting a few sound files, configuring their looping parameters, and integrating them into the game's scene. The worst-case scenario of 7 days accounts for the need to create custom ambient sounds (requiring sound recording, editing, and mixing), potentially needing to develop or significantly modify the game's audio engine to handle complex layering, dynamic adjustment based on player location or actions, and ensuring seamless transitions between different soundscapes, all while considering platform-specific audio implementation nuances and potential debugging."
Dynamic Music,Dm,Audio,Music adapts to gameplay.,Changes the musical score based on in-game actions or events. A staple in The Legend of Zelda: Breath of the Wild.,Breath of the Wild: Music shifts with exploration and combat.; Other open-world games employ dynamic music.,Enhances immersion by reflecting game intensity.,40 hours,3 months,"The minimum implementation time of 40 hours assumes a pre-existing music system and a relatively simple trigger system based on a few key game states (e.g., exploration, combat, stealth). This would involve creating 2-3 musical layers or variations and scripting basic transitions between them. The worst-case scenario of 3 months accounts for a more complex system requiring custom music composition, sophisticated state management, procedural music generation, and extensive integration with the game engine, potentially involving a dedicated audio programmer and significant testing to ensure seamless transitions and avoid jarring shifts in the musical score, especially if the game has a large and varied world."
Positional Audio,Pa,Audio,Spatial sound for immersive gameplay.,Provides spatial sound cues that help locate sources of sound in the game world. Integral in Hellblade: Senua's Sacrifice.,Hellblade: Senua's Sacrifice: Uses positional audio for environmental cues.; Many first-person shooters benefit from this mechanic.,Improves situational awareness through sound localization.,8 hours,2 days,"The minimum implementation time of 8 hours assumes a game engine (like Unity or Unreal Engine) already supports positional audio and the developer only needs to configure existing sound assets to utilize it, including setting up listener positions and adjusting sound attenuation based on distance. The worst-case scenario of 2 days accounts for situations where the game engine lacks robust positional audio support, requiring custom scripting or plugin integration, potentially involving complex calculations for 3D sound propagation and occlusion, alongside extensive testing and optimization across various hardware configurations to ensure a consistent and immersive experience."
Voice Commands,Vc,Audio,Use voice to control in-game actions.,"Allows players to issue commands via voice, enhancing interactivity. Utilized in Tom Clancy's EndWar.",EndWar: Commands issued through voice inputs.; Some strategy games integrate voice controls.,Introduces an alternative interaction method.,80 hours,3 months,"The minimum implementation time of 80 hours assumes a pre-existing game engine with basic audio input capabilities and a small, focused scope for voice commands (e.g., a handful of simple actions). This would involve integrating a speech-to-text library, mapping recognized phrases to in-game actions, and basic error handling. The worst-case scenario of 3 months accounts for a more complex implementation, including custom voice recognition training for specific in-game terminology, integration with a more sophisticated AI system to interpret commands, extensive error handling and user feedback mechanisms, and significant testing across various hardware configurations and user accents, all while potentially requiring modifications to the game's core architecture to accommodate the voice command system."
Base Building,Bb,Building,Construct and customize bases.,Allows players to construct and customize their own bases or settlements. Prominent in Fallout 4.,Fallout 4: Settlement building mechanics.; Survival games like ARK also implement base building.,Offers creative freedom and strategic placement.,60 hours,6 months,"The minimum implementation, a very basic system allowing placement of pre-defined building modules with limited customization (e.g., color changes, simple decorations) could be achieved in roughly 60 hours by a small team (2-3 developers) leveraging existing engine features and focusing solely on core functionality. The worst-case scenario, a complex system mirroring Fallout 4's depth with dynamic structural integrity, resource management, extensive customization options, NPC interaction, and potential combat scenarios, would require a significantly larger team (8-12 developers) and a much longer development cycle, potentially spanning 6 months or more, due to the sheer scope of features, the need for robust AI, and the extensive testing required to ensure stability and balance."
Blueprints,Bp,Building,Pre-designed construction plans.,Provides pre-designed plans that players can use to construct buildings efficiently. Notable in Fallout 4.,Fallout 4: Blueprints simplify settlement construction.; Other games use blueprint systems for building.,Speeds up building by offering ready-made designs.,40 hours,2 months,"The minimum implementation time of 40 hours assumes a game already possesses a robust building system with modular components and a UI capable of displaying and managing construction data. This timeframe focuses solely on creating a data structure (blueprints) that stores pre-defined building configurations and integrating a simple UI element to allow players to apply these blueprints. The worst-case scenario of 2 months accounts for a game lacking a foundational building system, requiring the development of modular building components, a construction UI, and a complex blueprint system with features like blueprint sharing, customization options, and potentially procedural generation of blueprints, all while ensuring compatibility with existing game mechanics and addressing potential performance issues related to large or complex blueprints."
Defensive Fortification,Df,Building,Strengthen structures for defense.,Allows players to strengthen structures for defense against attacks. Used in tower defense games like They Are Billions.,They Are Billions: Build fortifications to withstand hordes.; Other strategy games incorporate fortification mechanics.,Enhances survivability during assaults.,40 hours,2 weeks,"The minimum implementation time of 40 hours assumes a pre-existing tower defense game engine with basic building and attack systems already in place. This timeframe focuses on adding a simple fortification upgrade system where structures can be strengthened by a fixed amount, requiring scripting for the upgrade process, visual feedback (e.g., a change in model or texture), and basic balancing. The worst-case scenario of 2 weeks accounts for a more complex implementation involving dynamic fortification levels based on resource investment, potentially requiring modifications to the core building system, advanced visual effects, intricate balancing considerations, and thorough testing across various attack types and enemy compositions, all of which significantly increase development time and potential for unforeseen complications."
Modular Construction,Mc,Building,Flexible building with modular parts.,Enables building with interchangeable components for flexible design. Seen in Fortnite's Save the World mode.,Fortnite: Build structures with modular pieces.; Other titles use similar construction systems.,Simplifies complex construction through pre-made modules.,40 hours,3 months,"The minimum implementation time of 40 hours assumes a pre-existing game engine with basic building mechanics already in place, focusing solely on creating a limited set of modular components and a simple snapping system. This would involve scripting the component definitions, connection points, and basic placement logic. The worst-case scenario of 3 months accounts for a lack of foundational building systems, requiring the development of a robust engine feature including component definition tools, advanced snapping and collision detection, a user interface for module selection, and potentially a system for saving and loading modular structures, alongside extensive testing and iteration to ensure stability and usability, all while integrating it seamlessly into the existing game design."
Zoning,Zn,Building,Designate areas for different functions.,"Involves designating areas for specific functions, common in city-building games like SimCity and Cities: Skylines.",SimCity: Zoning for residential and commercial areas.; Cities: Skylines: Detailed zoning mechanics.,Helps manage urban planning and resource allocation.,40 hours,3 months,"The minimum implementation time of 40 hours assumes a pre-existing game engine with basic map and tile-based systems. This timeframe focuses on a rudimentary zoning system allowing players to designate areas as residential, commercial, or industrial, with simple visual cues and basic resource allocation. The worst-case scenario of 3 months accounts for a more complex system requiring significant engine modifications, including advanced visual representations (e.g., detailed building styles per zone), intricate resource management simulations (e.g., pollution, traffic impact), and potentially procedural generation of zone-appropriate buildings, alongside extensive testing and balancing to ensure a functional and engaging gameplay experience, especially if the game engine lacks foundational map and tile-based systems."
Cinematic Camera,Cc,Camera,Cinematic camera angles and movements.,Provides pre-set camera angles and movements to deliver cinematic storytelling. Employed in the Uncharted series.,Uncharted: Cinematic sequences during story moments.; Other adventure games adopt similar techniques.,Enhances narrative and visual presentation.,40 hours,3 months,"The minimum implementation (40 hours) assumes a pre-existing game engine with basic camera controls and scripting capabilities, allowing for the creation of a few simple, pre-defined camera angles and transitions triggered by events. This would involve scripting a handful of camera presets and linking them to specific story beats. The worst-case scenario (3 months) accounts for a game engine lacking robust camera scripting tools, requiring significant development of custom camera systems, animation blending for smooth transitions, and potentially integrating with a narrative design tool to manage camera triggers and sequences. This also includes extensive testing and iteration to ensure cinematic quality and avoid jarring transitions, especially if the game's existing camera system is fundamentally incompatible with the desired cinematic style."
First-Person View,Fp,Camera,Immersive first-person perspective.,Offers an immersive perspective by placing the camera at the character's viewpoint. Standard in Call of Duty.,Call of Duty: First-person shooting experience.; Many shooters use first-person view.,Increases player immersion and situational awareness.,48 hours,2 weeks,"The minimum implementation time of 48 hours assumes a game engine (like Unity or Unreal Engine) already exists and the core camera system is relatively straightforward to adapt. This timeframe requires a developer already familiar with the engine and possessing basic scripting skills to adjust the camera position, orientation, and basic collision avoidance. The worst-case scenario of 2 weeks accounts for a more complex engine, potential issues with character animation integration, collision detection, UI adjustments to accommodate the new perspective, and the need for thorough testing across different hardware configurations; it also factors in potential roadblocks related to existing game design elements that might not function well in a first-person view and require significant rework."
